Date,Forecasted General Index
2023-12-01,188.73648447999216
2024-01-01,188.9495384591119
2024-02-01,189.03414854516586
2024-03-01,189.06774973248767
2024-04-01,189.081093765594
2024-05-01,189.08639307891403
2024-06-01,189.08849759420113
2024-07-01,189.08933335995533
2024-08-01,189.08966526744973
2024-09-01,189.08979707780964
2024-10-01,189.0898494236327
2024-11-01,189.08987021171941
